Ownership Name,DBA Name,Street Address,Business Start Date,Business End Date,Location Start Date,Location End Date,Mail City,Mail State,NAICS Code,NAICS Code Description,LIC Code,LIC Code Description
Mz Gas Inc,Valencia 76,1298 Valencia St,08/02/2018,NA,08/02/2018,NA,San Francisco,CA,NA,NA,H03,"Retail Mkts W/o Prep (Under 5,001)"
Shariff Sharif A,City Smoke And Gift Shop,2196 Mission St,10/01/2004,NA,10/01/2004,NA,San Francisco,CA,4400-4599,Retail Trade,H03 H31,Multiple
Target Corporation,Target Store T-3297,1690 Folsom St,10/01/2012,NA,08/07/2019,NA,Minneapolis,MN,4400-4599,Retail Trade,H06 H24 Pos01,Multiple
Alsaad Yousef F,Garage Cafe & Market,320 11th St,10/02/2002,NA,10/02/2002,NA,San Francisco,CA,4400-4599 7220-7229,Multiple,H03 H31 H73,Multiple
Shehadeh Nizar A,Abc Market,2801 Bryant St,01/01/2003,NA,01/01/2003,NA,San Francisco,CA,4400-4599,Retail Trade,H07 H31 H73 Wm18,Multiple
Shelton Ryan,Merchant Roots,613 York St,03/14/2016,01/01/2020,12/04/2017,01/01/2020,NA,NA,7220-7229,Food Services,H88,Retail Bakeries With Food Prep
Keyaki Llc,Dolores Outpost,698 Guerrero St,04/21/2016,NA,04/21/2016,NA,San Francisco,CA,4400-4599,Retail Trade,H07 H31 H73,Multiple
Anthony's Cookies Inc,Anthony's Cookies Inc,1417 Valencia St,01/06/2015,NA,01/06/2015,NA,San Francisco,CA,7220-7229,Food Services,H88,Retail Bakeries With Food Prep
Potrero Market And Deli,Potrero Market And Deli,1298 Potrero Ave,03/20/2017,03/15/2020,03/20/2017,03/15/2020,NA,NA,4400-4599,Retail Trade,H03 H31 H73,Multiple
"Mission Groceries, Inc",Mission Grocery & Liquor,2130 Mission St,04/23/2017,NA,04/23/2017,NA,San Francisco,CA,4400-4599,Retail Trade,H03 H31 H73 Pos01,Multiple
Muhammad Siddique,Tony's Market & Liquor,2751 24th St,05/29/2017,NA,05/29/2017,NA,San Francisco,CA,7220-7229,Food Services,H03 H31 H73,Multiple
"Huber Gamboa, Alfredo Ramos",La Canasta Produce,2097 Mission St,01/25/2018,NA,01/25/2018,NA,San Francisco,CA,4400-4599,Retail Trade,H07 Pos01 Wm18,Multiple
Gift Nosh Llc,Foragers Present,1186 Valencia St 107,05/23/2018,NA,10/02/2018,NA,Menlo Park,CA,4400-4599,Retail Trade,H07 Pos01,Multiple
Eterna Primavera Bakery Llc,Eterna Primavera Bakery,2951 24th St Bldg,09/18/2018,NA,09/18/2018,NA,San Francisco,CA,NA,NA,H88,Retail Bakeries With Food Prep
La Victoria Sf,La Victoria Sf,3249 24th St,02/19/2019,NA,02/19/2019,NA,San Francisco,CA,3100-3399 7220-7229,Multiple,H07,Retail Food Market W/food Prep. Lt 5001 Sqft
Samra Bros Inc,26th & Guerrero Market,1400 Guerrero St,03/19/2019,NA,03/19/2019,NA,San Francisco,CA,7220-7229,Food Services,H03 H31,Multiple
Navjot Alisha Inc,Indian Spices And Groceries,3265 22 Nd St,04/17/2019,NA,04/17/2019,NA,Novato,CA,7220-7229,Food Services,H03,"Retail Mkts W/o Prep (Under 5,001)"
Kfka Corp,City Discount Meat & Grocery Market,2298 Mission St,01/16/2020,NA,01/16/2020,NA,San Francisco,CA,4400-4599 7220-7229,Multiple,H07 H31 Wm18,Multiple
"Casa Latinamarket,inc","Casa Latina Market,inc",3020 16th,05/16/2020,NA,05/16/2020,NA,Daly City,CA,4400-4599,Retail Trade,H09,"Retail Food Market W/food Prep 5,001 - 10,000 Sqft"
Marsh A Breedg Grd For New Pfr,Marsh A Breedg Grd For New Pfr,1062 Valencia St,08/01/1992,NA,08/01/1992,NA,San Francisco,CA,7100-7199,"Arts, Entertainment, and Recreation",H03 H24,Multiple
Ed & Danny's Mkt Inc,Ed & Danny's Mkt,999 Van Ness Ave,01/01/2014,NA,01/01/2014,NA,San Francisco,CA,4400-4599,Retail Trade,H03 H31 H73,Multiple
Gutierrez Alicia V,La Reyna Bakery,3114 24th St,03/01/2004,NA,03/01/2004,NA,San Francisco,CA,NA,NA,H88,Retail Bakeries With Food Prep
Valle Francisco,La Mexicana Bakery,2804 24th St,01/01/1997,06/30/2020,01/01/1997,06/30/2020,NA,NA,NA,NA,H88,Retail Bakeries With Food Prep
Muhawieh Linda/muhawieh Talal,Isaac's Market,2601 Folsom St,02/14/2011,NA,02/14/2011,NA,San Francisco,CA,4400-4599,Retail Trade,H03 H31 H73,Multiple
Choi Jeoung Hoon,Rhea's Market & Deli,800 Valencia St,08/15/2013,NA,08/15/2013,NA,San Francisco,CA,4400-4599,Retail Trade,H07 H31 H73 Pos01,Multiple
Caldera Elieth Del,San Francisco Tropical,2768 Mission St,12/06/2011,NA,12/06/2011,NA,San Francisco,CA,NA,NA,H03,"Retail Mkts W/o Prep (Under 5,001)"
Nagi Abdo A,Vics Convenient Store,3300 26th St,02/01/2012,NA,02/01/2012,NA,San Francisco,CA,4400-4599,Retail Trade,H03 H31 H73,Multiple
Mi Pueblito Market Llc,Mi Pueblito Market Llc,2765 Mission St,10/22/2013,NA,10/22/2013,NA,San Francisco,CA,4400-4599 7220-7229,Multiple,H07,Retail Food Market W/food Prep. Lt 5001 Sqft
Safeway Inc,Safeway Inc #1490,2300 16th St,01/01/1968,NA,10/01/1968,NA,Wilmington,DE,4400-4599,Retail Trade,H73 H81 Pos01 Wm18 Wm30,Multiple
Walgreen Co,Walgreen's #04231,2690 Mission St,10/01/1968,NA,05/01/1998,NA,Deerfield,IL,4400-4599,Retail Trade,H06 Pos01,Multiple
Hort Sam & Hing Malinda,Valencia Farmers Market,1299 Valencia St,09/01/1985,NA,09/01/1985,NA,San Francisco,CA,4400-4599,Retail Trade,H07 Pos01 Wm30,Multiple
Diandas Ital Amer Pstry Co Inc,Diandas Ital Amer Pstry Co Inc,2883 Mission St,10/01/1968,NA,10/01/1998,NA,San Francisco,CA,7220-7229,Food Services,H88 Wm18,Multiple
Hom Song Chin/leung,Homs Grocery,499 Guerrero St,10/01/1968,NA,10/01/1968,NA,San Francisco,CA,4400-4599,Retail Trade,H03 H31,Multiple
Zeidan Majed B,Randas Market,3131 16th St,10/01/2001,NA,02/01/2004,NA,San Francisco,CA,4400-4599,Retail Trade,H03 H31 H73,Multiple
Gil Pedro & Jose,Casa Guadalupe #2,2909 Mission St,09/01/2007,07/29/2021,09/01/2007,07/29/2021,NA,NA,4400-4599,Retail Trade,H09 H73 Pos01 Wm18 Wm30,Multiple
Cung Duong,Hwa Lei Market,2970 16th St #A,10/01/1998,NA,10/01/1998,NA,San Francisco,CA,7220-7229,Food Services,H07 Wm18,Multiple
Totah Ghassan & George,Valencia Grocery,1300 Valencia St,05/01/1999,NA,05/01/1999,NA,San Francisco,CA,4400-4599,Retail Trade,H07 H31 H73,Multiple
Officemax Inc,Officemax No America Inc #582,1750 Harrison St,12/12/1996,NA,12/12/1996,NA,Boca Raton,FL,4400-4599,Retail Trade,D32 H03 Pos01,Multiple
Eleftheriadis Kostas,Twenty-Third & Mission Produce,2700 Mission St,04/20/1990,NA,01/01/1995,NA,San Francisco,CA,7220-7229,Food Services,H04 Pos01 Wm30,Multiple
